B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B44,B45
194,413,90,74,55,23,97,50,359,50,130,487,102
15,14,10,57,320,261,51,44,9,254,493,18,209
41,58,60,48,56,87,11,102,12,5,,100,14
29,37,186,29,104,7,4,72,270,283,,7,57
33,100,61,502,220,120,141,22,603,35,,98,54
181,65,49,12,239,14,12,39,3,12,,5,32
,9,14,70,47,62,142,3,104,,,85,67
,169,24,21,246,47,68,15,2,,,91,59
,447,56,29,176,225,77,197,438,,,43,134
,184,20,386,182,71,80,188,,,,230,152
,36,79,59,33,246,1,79,,,,3,27
,201,84,27,,21,16,88,,,,130,14
,118,44,,15,42,106,46,,,,,230
,34,59,153,104,20,206,5,,,,,66
,31,29,26,35,5,82,5,,,,,61
,18,118,326,,12,54,36,,,,,34
,18,25,,,120,31,22,,,,,
,67,156,,,11,216,139,,,,,
,57,310,,,3,46,210,,,,,
,62,76,,,14,111,97,,,,,
,7,26,,,71,39,30,,,,,
,22,44,,,11,63,23,,,,,
,34,23,,,14,18,13,,,,,
,,62,,,11,191,14,,,,,
,,130,,,16,18,,,,,,
,,208,,,90,163,,,,,,
,,70,,,1,24,,,,,,
,,101,,,16,,,,,,,
,,208,,,52,,,,,,,
,,,,,95,,,,,,,